season,posteam,plays,pass_rate,run_rate,epa_per_play,success_rate,shotgun_rate,no_huddle_rate,epa_per_pass,pass_success_rate,pass_plays,epa_per_rush,rush_success_rate,rush_plays,pass_rate_pct,run_rate_pct,success_rate_pct,shotgun_rate_pct,no_huddle_rate_pct,pass_success_rate_pct,rush_success_rate_pct
2025,CAR,783,0.5287356321839081,0.47126436781609193,-0.048,0.42656449553001274,0.6564495530012772,0.033205619412515965,-0.066,0.41545893719806765,414,-0.028,0.43902439024390244,369,52.9,47.1,42.7,65.6,3.3,41.5,43.9
2025,CHI,897,0.5484949832775919,0.451505016722408,0.1,0.4760312151616499,0.5083612040133779,0.043478260869565216,0.109,0.44715447154471544,492,0.088,0.5111111111111111,405,54.8,45.2,47.6,50.8,4.3,44.7,51.1
2025,CIN,825,0.6484848484848484,0.3515151515151515,-0.014,0.4581818181818182,0.816969696969697,0.014545454545454545,-0.065,0.4485981308411215,535,0.078,0.47586206896551725,290,64.8,35.2,45.8,81.7,1.5,44.9,47.6
2025,CLE,807,0.5625774473358116,0.43742255266418834,-0.19,0.33705080545229243,0.6369268897149938,0.057001239157372985,-0.278,0.32158590308370044,454,-0.076,0.35694050991501414,353,56.3,43.7,33.7,63.7,5.7,32.2,35.7
2025,DAL,848,0.5849056603773585,0.41509433962264153,0.128,0.47523584905660377,0.6108490566037735,0.07429245283018868,0.213,0.4838709677419355,496,0.01,0.4630681818181818,352,58.5,41.5,47.5,61.1,7.4,48.4,46.3
2025,DEN,871,0.6027554535017221,0.39724454649827784,0.061,0.43857634902411025,0.6750861079219288,0.12973593570608496,0.078,0.4361904761904762,525,0.036,0.4421965317919075,346,60.3,39.7,43.9,67.5,13.0,43.6,44.2
2025,DET,797,0.5909661229611042,0.4090338770388959,0.074,0.45671267252195735,0.5043914680050188,0.05144291091593475,0.143,0.47770700636942676,471,-0.025,0.4263803680981595,326,59.1,40.9,45.7,50.4,5.1,47.8,42.6
2025,GB,845,0.5384615384615384,0.46153846153846156,0.155,0.493491124260355,0.6556213017751479,0.09585798816568047,0.299,0.5230769230769231,455,-0.014,0.45897435897435895,390,53.8,46.2,49.3,65.6,9.6,52.3,45.9
2025,HOU,897,0.5730211817168339,0.4269788182831661,-0.037,0.41025641025641024,0.6231884057971014,0.03455964325529543,0.006,0.43190661478599224,514,-0.094,0.381201044386423,383,57.3,42.7,41.0,62.3,3.5,43.2,38.1
2025,IND,800,0.5725,0.4275,0.059,0.44875,0.72875,0.04125,0.062,0.44759825327510916,458,0.056,0.4502923976608187,342,57.2,42.8,44.9,72.9,4.1,44.8,45.0
2025,JAX,772,0.5816062176165803,0.4183937823834197,0.055,0.4637305699481865,0.633419689119171,0.06476683937823834,0.04,0.46770601336302897,449,0.076,0.4582043343653251,323,58.2,41.8,46.4,63.3,6.5,46.8,45.8
2025,KC,880,0.6079545454545454,0.39204545454545453,0.014,0.45,0.8113636363636364,0.023863636363636365,-0.011,0.44485981308411215,535,0.053,0.4579710144927536,345,60.8,39.2,45.0,81.1,2.4,44.5,45.8
2025,LA,808,0.629950495049505,0.37004950495049505,0.16,0.5222772277227723,0.43564356435643564,0.07549504950495049,0.242,0.5304518664047151,509,0.019,0.5083612040133779,299,63.0,37.0,52.2,43.6,7.5,53.0,50.8
2025,LAC,854,0.5936768149882904,0.4063231850117096,-0.024,0.4262295081967213,0.7154566744730679,0.026932084309133488,-0.058,0.4319526627218935,507,0.024,0.41786743515850144,347,59.4,40.6,42.6,71.5,2.7,43.2,41.8
2025,LV,691,0.6005788712011577,0.3994211287988423,-0.242,0.3675832127351664,0.6338639652677279,0.06512301013024602,-0.262,0.3783132530120482,415,-0.212,0.35144927536231885,276,60.1,39.9,36.8,63.4,6.5,37.8,35.1
2025,MIA,652,0.5460122699386503,0.4539877300613497,0.028,0.4401840490797546,0.7285276073619632,0.029141104294478526,0.037,0.45224719101123595,356,0.018,0.42567567567567566,296,54.6,45.4,44.0,72.9,2.9,45.2,42.6
2025,MIN,704,0.5795454545454546,0.42045454545454547,-0.126,0.4247159090909091,0.5511363636363636,0.07386363636363637,-0.183,0.4117647058823529,408,-0.046,0.44256756756756754,296,58.0,42.0,42.5,55.1,7.4,41.2,44.3
2025,NE,789,0.5602027883396705,0.43979721166032953,0.176,0.5031685678073511,0.5602027883396705,0.017743979721166033,0.304,0.5497737556561086,442,0.014,0.4438040345821326,347,56.0,44.0,50.3,56.0,1.8,55.0,44.4
2025,NO,809,0.5735475896168108,0.4264524103831891,-0.082,0.41656365883807167,0.7725587144622992,0.20642768850432633,-0.083,0.4375,464,-0.08,0.3884057971014493,345,57.4,42.6,41.7,77.3,20.6,43.8,38.8
2025,NYG,846,0.5319148936170213,0.46808510638297873,0.004,0.4160756501182033,0.7659574468085106,0.2115839243498818,0.01,0.4066666666666667,450,-0.003,0.42676767676767674,396,53.2,46.8,41.6,76.6,21.2,40.7,42.7
2025,NYJ,659,0.49013657056145676,0.5098634294385432,-0.172,0.3975720789074355,0.7040971168437026,0.05918057663125948,-0.255,0.3653250773993808,323,-0.091,0.42857142857142855,336,49.0,51.0,39.8,70.4,5.9,36.5,42.9
2025,PHI,792,0.5656565656565656,0.43434343434343436,0.03,0.43434343434343436,0.7967171717171717,0.2032828282828283,0.035,0.4375,448,0.025,0.43023255813953487,344,56.6,43.4,43.4,79.7,20.3,43.8,43.0
2025,PIT,838,0.5930787589498807,0.40692124105011934,0.039,0.4451073985680191,0.6682577565632458,0.10501193317422435,0.025,0.43661971830985913,497,0.059,0.4574780058651026,341,59.3,40.7,44.5,66.8,10.5,43.7,45.7
2025,SEA,692,0.5476878612716763,0.4523121387283237,0.04,0.47398843930635837,0.5014450867052023,0.0838150289017341,0.101,0.5145118733509235,379,-0.033,0.4249201277955272,313,54.8,45.2,47.4,50.1,8.4,51.5,42.5
2025,SF,875,0.5771428571428572,0.4228571428571429,0.089,0.488,0.5588571428571428,0.03314285714285714,0.158,0.5306930693069307,505,-0.004,0.4297297297297297,370,57.7,42.3,48.8,55.9,3.3,53.1,43.0
2025,TB,865,0.5468208092485549,0.4531791907514451,0.016,0.4393063583815029,0.6369942196531792,0.058959537572254334,-0.009,0.4334038054968288,473,0.047,0.44642857142857145,392,54.7,45.3,43.9,63.7,5.9,43.3,44.6
2025,TEN,670,0.5805970149253732,0.41940298507462687,-0.159,0.3686567164179104,0.673134328358209,0.056716417910447764,-0.165,0.37789203084832906,389,-0.151,0.35587188612099646,281,58.1,41.9,36.9,67.3,5.7,37.8,35.6
2025,WAS,719,0.5243393602225312,0.4756606397774687,0.021,0.4478442280945758,0.8706536856745479,0.6189151599443672,-0.005,0.4535809018567639,377,0.05,0.4415204678362573,342,52.4,47.6,44.8,87.1,61.9,45.4,44.2
