season,posteam,down,dist_bucket,pass_rate,plays
2023,PHI,2,Short (1-2),0.3888888888888889,36
2023,PHI,3,Long (10+),0.8095238095238095,42
2023,PHI,3,Med-Short (3-5),0.5957446808510638,47
2023,PHI,3,Medium (6-9),0.7833333333333333,60
2023,PHI,3,Short (1-2),0.3611111111111111,36
2023,PHI,4,Med-Short (3-5),0.8571428571428571,7
2023,PHI,4,Short (1-2),0.09090909090909091,11
2023,PIT,1,Long (10+),0.38953488372093026,344
2023,PIT,1,Med-Short (3-5),0.2222222222222222,9
2023,PIT,1,Medium (6-9),0.25,8
2023,PIT,1,Short (1-2),0.3333333333333333,3
2023,PIT,2,Long (10+),0.625,80
2023,PIT,2,Med-Short (3-5),0.4583333333333333,72
2023,PIT,2,Medium (6-9),0.45,100
2023,PIT,2,Short (1-2),0.4166666666666667,24
2023,PIT,3,Long (10+),0.8478260869565217,46
2023,PIT,3,Med-Short (3-5),0.9574468085106383,47
2023,PIT,3,Medium (6-9),0.9344262295081968,61
2023,PIT,3,Short (1-2),0.36363636363636365,33
2023,PIT,4,Med-Short (3-5),1.0,1
2023,PIT,4,Short (1-2),0.3,10
2023,SEA,1,Long (10+),0.5513513513513514,370
2023,SEA,1,Med-Short (3-5),0.23076923076923078,13
2023,SEA,1,Medium (6-9),0.2,10
2023,SEA,1,Short (1-2),0.16666666666666666,6
2023,SEA,2,Long (10+),0.6893203883495146,103
2023,SEA,2,Med-Short (3-5),0.390625,64
2023,SEA,2,Medium (6-9),0.7021276595744681,94
2023,SEA,2,Short (1-2),0.19047619047619047,21
2023,SEA,3,Long (10+),0.9285714285714286,56
2023,SEA,3,Med-Short (3-5),0.9302325581395349,43
2023,SEA,3,Medium (6-9),0.92,50
2023,SEA,3,Short (1-2),0.5151515151515151,33
2023,SEA,4,Med-Short (3-5),1.0,1
2023,SEA,4,Medium (6-9),1.0,2
2023,SEA,4,Short (1-2),0.375,8
2023,SF,1,Long (10+),0.5449871465295629,389
2023,SF,1,Med-Short (3-5),0.15384615384615385,13
2023,SF,1,Medium (6-9),0.2222222222222222,9
2023,SF,1,Short (1-2),0.1111111111111111,9
2023,SF,2,Long (10+),0.7244897959183674,98
2023,SF,2,Med-Short (3-5),0.4461538461538462,65
2023,SF,2,Medium (6-9),0.6976744186046512,86
2023,SF,2,Short (1-2),0.10416666666666667,48
2023,SF,3,Long (10+),0.8125,48
2023,SF,3,Med-Short (3-5),0.8214285714285714,28
2023,SF,3,Medium (6-9),0.9512195121951219,41
2023,SF,3,Short (1-2),0.2857142857142857,42
2023,SF,4,Med-Short (3-5),1.0,2
2023,SF,4,Short (1-2),0.3333333333333333,3
2023,TB,1,Long (10+),0.4657534246575342,365
2023,TB,1,Med-Short (3-5),0.6,5
2023,TB,1,Medium (6-9),0.36363636363636365,11
2023,TB,1,Short (1-2),0.6,10
2023,TB,2,Long (10+),0.6632653061224489,98
2023,TB,2,Med-Short (3-5),0.5272727272727272,55
2023,TB,2,Medium (6-9),0.6370967741935484,124
2023,TB,2,Short (1-2),0.3793103448275862,29
2023,TB,3,Long (10+),0.9107142857142857,56
2023,TB,3,Med-Short (3-5),0.8793103448275862,58
2023,TB,3,Medium (6-9),0.873015873015873,63
2023,TB,3,Short (1-2),0.3076923076923077,26
2023,TB,4,Long (10+),1.0,1
2023,TB,4,Med-Short (3-5),1.0,1
2023,TB,4,Short (1-2),0.0,8
2023,TEN,1,Long (10+),0.47619047619047616,336
2023,TEN,1,Med-Short (3-5),0.2,5
2023,TEN,1,Medium (6-9),0.14285714285714285,7
2023,TEN,1,Short (1-2),0.0,4
2023,TEN,2,Long (10+),0.5980392156862745,102
2023,TEN,2,Med-Short (3-5),0.3076923076923077,52
2023,TEN,2,Medium (6-9),0.5955056179775281,89
2023,TEN,2,Short (1-2),0.18181818181818182,22
2023,TEN,3,Long (10+),0.8367346938775511,49
2023,TEN,3,Med-Short (3-5),0.8048780487804879,41
2023,TEN,3,Medium (6-9),0.9310344827586207,58
2023,TEN,3,Short (1-2),0.39285714285714285,28
2023,TEN,4,Long (10+),0.0,2
2023,TEN,4,Med-Short (3-5),1.0,3
2023,TEN,4,Short (1-2),0.2222222222222222,9
2023,WAS,1,Long (10+),0.5964912280701754,342
2023,WAS,1,Med-Short (3-5),0.6666666666666666,9
2023,WAS,1,Medium (6-9),0.6,5
2023,WAS,1,Short (1-2),0.5,6
2023,WAS,2,Long (10+),0.7473684210526316,95
2023,WAS,2,Med-Short (3-5),0.603448275862069,58
2023,WAS,2,Medium (6-9),0.6506024096385542,83
2023,WAS,2,Short (1-2),0.40540540540540543,37
2023,WAS,3,Long (10+),0.8666666666666667,45
2023,WAS,3,Med-Short (3-5),0.8461538461538461,39
2023,WAS,3,Medium (6-9),0.9230769230769231,39
2023,WAS,3,Short (1-2),0.47368421052631576,38
2023,WAS,4,Long (10+),0.0,1
2023,WAS,4,Med-Short (3-5),1.0,1
2023,WAS,4,Medium (6-9),1.0,1
2023,WAS,4,Short (1-2),0.7142857142857143,14
2024,ARI,1,Long (10+),0.5145348837209303,344
2024,ARI,1,Med-Short (3-5),0.4444444444444444,9
2024,ARI,1,Medium (6-9),0.42857142857142855,7
2024,ARI,1,Short (1-2),0.5555555555555556,9
2024,ARI,2,Long (10+),0.6630434782608695,92
2024,ARI,2,Med-Short (3-5),0.5964912280701754,57
2024,ARI,2,Medium (6-9),0.6867469879518072,83
2024,ARI,2,Short (1-2),0.32142857142857145,28
2024,ARI,3,Long (10+),0.6857142857142857,35
2024,ARI,3,Med-Short (3-5),0.7878787878787878,33
2024,ARI,3,Medium (6-9),0.8260869565217391,46
2024,ARI,3,Short (1-2),0.45161290322580644,31
2024,ARI,4,Long (10+),1.0,2
2024,ARI,4,Med-Short (3-5),0.5,2
2024,ARI,4,Medium (6-9),1.0,2
2024,ARI,4,Short (1-2),0.42857142857142855,7
2024,ATL,1,Long (10+),0.43478260869565216,391
2024,ATL,1,Med-Short (3-5),0.125,8
2024,ATL,1,Medium (6-9),0.07692307692307693,13
2024,ATL,1,Short (1-2),0.0,4
2024,ATL,2,Long (10+),0.9019607843137255,102
2024,ATL,2,Med-Short (3-5),0.3835616438356164,73
2024,ATL,2,Medium (6-9),0.6907216494845361,97
2024,ATL,2,Short (1-2),0.18421052631578946,38
2024,ATL,3,Long (10+),0.9148936170212766,47
2024,ATL,3,Med-Short (3-5),0.8695652173913043,46
2024,ATL,3,Medium (6-9),0.9795918367346939,49
2024,ATL,3,Short (1-2),0.22857142857142856,35
2024,ATL,4,Long (10+),1.0,3
2024,ATL,4,Med-Short (3-5),1.0,11
2024,ATL,4,Short (1-2),0.38461538461538464,13
2024,BAL,1,Long (10+),0.4381443298969072,388
2024,BAL,1,Med-Short (3-5),0.0,6
2024,BAL,1,Medium (6-9),0.4166666666666667,12
2024,BAL,1,Short (1-2),0.16666666666666666,6
2024,BAL,2,Long (10+),0.6320754716981132,106
2024,BAL,2,Med-Short (3-5),0.2727272727272727,55
2024,BAL,2,Medium (6-9),0.6326530612244898,98
2024,BAL,2,Short (1-2),0.32,25
2024,BAL,3,Long (10+),0.9787234042553191,47
2024,BAL,3,Med-Short (3-5),0.7777777777777778,36
2024,BAL,3,Medium (6-9),0.9024390243902439,41
2024,BAL,3,Short (1-2),0.09375,32
2024,BAL,4,Long (10+),1.0,2
2024,BAL,4,Med-Short (3-5),1.0,1
2024,BAL,4,Short (1-2),0.125,8
2024,BUF,1,Long (10+),0.43315508021390375,374
2024,BUF,1,Med-Short (3-5),0.18181818181818182,11
2024,BUF,1,Medium (6-9),0.2631578947368421,19
2024,BUF,1,Short (1-2),0.0,4
2024,BUF,2,Long (10+),0.7857142857142857,98
2024,BUF,2,Med-Short (3-5),0.38461538461538464,65
2024,BUF,2,Medium (6-9),0.6981132075471698,106
2024,BUF,2,Short (1-2),0.18181818181818182,44
2024,BUF,3,Long (10+),0.9285714285714286,42
2024,BUF,3,Med-Short (3-5),0.7567567567567568,37
