season,posteam,field_zone,pass_rate,plays
2024,NO,2. Own Mid (50-74),0.5971014492753624,345
2024,NO,3. Opp Mid (25-49),0.5504587155963303,218
2024,NO,4. Red Zone (10-24),0.5280898876404494,89
2024,NO,5. Goal-to-Go (<10),0.3225806451612903,31
2024,NYG,1. Own End (75-100),0.5842696629213483,89
2024,NYG,2. Own Mid (50-74),0.5601092896174863,366
2024,NYG,3. Opp Mid (25-49),0.5745614035087719,228
2024,NYG,4. Red Zone (10-24),0.5692307692307692,65
2024,NYG,5. Goal-to-Go (<10),0.46153846153846156,39
2024,NYJ,1. Own End (75-100),0.6153846153846154,130
2024,NYJ,2. Own Mid (50-74),0.6062322946175638,353
2024,NYJ,3. Opp Mid (25-49),0.6455696202531646,237
2024,NYJ,4. Red Zone (10-24),0.6629213483146067,89
2024,NYJ,5. Goal-to-Go (<10),0.6756756756756757,37
2024,PHI,1. Own End (75-100),0.509090909090909,110
2024,PHI,2. Own Mid (50-74),0.509478672985782,422
2024,PHI,3. Opp Mid (25-49),0.46229508196721314,305
2024,PHI,4. Red Zone (10-24),0.5314685314685315,143
2024,PHI,5. Goal-to-Go (<10),0.3220338983050847,59
2024,PIT,1. Own End (75-100),0.549618320610687,131
2024,PIT,2. Own Mid (50-74),0.5818181818181818,385
2024,PIT,3. Opp Mid (25-49),0.4978165938864629,229
2024,PIT,4. Red Zone (10-24),0.4883720930232558,86
2024,PIT,5. Goal-to-Go (<10),0.42857142857142855,56
2024,SEA,1. Own End (75-100),0.6891891891891891,148
2024,SEA,2. Own Mid (50-74),0.60790273556231,329
2024,SEA,3. Opp Mid (25-49),0.6650943396226415,212
2024,SEA,4. Red Zone (10-24),0.6111111111111112,72
2024,SEA,5. Goal-to-Go (<10),0.3333333333333333,48
2024,SF,1. Own End (75-100),0.5638297872340425,94
2024,SF,2. Own Mid (50-74),0.5756457564575646,271
2024,SF,3. Opp Mid (25-49),0.5603448275862069,232
2024,SF,4. Red Zone (10-24),0.5333333333333333,90
2024,SF,5. Goal-to-Go (<10),0.5277777777777778,72
2024,TB,1. Own End (75-100),0.5648148148148148,108
2024,TB,2. Own Mid (50-74),0.5757575757575758,363
2024,TB,3. Opp Mid (25-49),0.5585585585585585,222
2024,TB,4. Red Zone (10-24),0.5161290322580645,93
2024,TB,5. Goal-to-Go (<10),0.582089552238806,67
2024,TEN,1. Own End (75-100),0.6031746031746031,126
2024,TEN,2. Own Mid (50-74),0.5157232704402516,318
2024,TEN,3. Opp Mid (25-49),0.5362318840579711,207
2024,TEN,4. Red Zone (10-24),0.35714285714285715,70
2024,TEN,5. Goal-to-Go (<10),0.6,35
2024,WAS,1. Own End (75-100),0.6304347826086957,92
2024,WAS,2. Own Mid (50-74),0.6048387096774194,372
2024,WAS,3. Opp Mid (25-49),0.5052631578947369,285
2024,WAS,4. Red Zone (10-24),0.4094488188976378,127
2024,WAS,5. Goal-to-Go (<10),0.4523809523809524,84
2025,ARI,1. Own End (75-100),0.65,120
2025,ARI,2. Own Mid (50-74),0.677536231884058,276
2025,ARI,3. Opp Mid (25-49),0.5862068965517241,203
2025,ARI,4. Red Zone (10-24),0.7294117647058823,85
2025,ARI,5. Goal-to-Go (<10),0.4897959183673469,49
2025,ATL,1. Own End (75-100),0.4424778761061947,113
2025,ATL,2. Own Mid (50-74),0.5977653631284916,358
2025,ATL,3. Opp Mid (25-49),0.5423728813559322,236
2025,ATL,4. Red Zone (10-24),0.6185567010309279,97
2025,ATL,5. Goal-to-Go (<10),0.425531914893617,47
2025,BAL,1. Own End (75-100),0.5370370370370371,108
2025,BAL,2. Own Mid (50-74),0.5390070921985816,282
2025,BAL,3. Opp Mid (25-49),0.49029126213592233,206
2025,BAL,4. Red Zone (10-24),0.41228070175438597,114
2025,BAL,5. Goal-to-Go (<10),0.3103448275862069,58
2025,BUF,1. Own End (75-100),0.5447761194029851,134
2025,BUF,2. Own Mid (50-74),0.5481049562682215,343
2025,BUF,3. Opp Mid (25-49),0.5615384615384615,260
2025,BUF,4. Red Zone (10-24),0.49612403100775193,129
2025,BUF,5. Goal-to-Go (<10),0.3333333333333333,72
2025,CAR,1. Own End (75-100),0.5315315315315315,111
2025,CAR,2. Own Mid (50-74),0.5354107648725213,353
2025,CAR,3. Opp Mid (25-49),0.5574468085106383,235
2025,CAR,4. Red Zone (10-24),0.49504950495049505,101
2025,CAR,5. Goal-to-Go (<10),0.5777777777777777,45
2025,CHI,1. Own End (75-100),0.528,125
2025,CHI,2. Own Mid (50-74),0.5788113695090439,387
2025,CHI,3. Opp Mid (25-49),0.5817610062893082,318
2025,CHI,4. Red Zone (10-24),0.5151515151515151,132
2025,CHI,5. Goal-to-Go (<10),0.34210526315789475,76
2025,CIN,1. Own End (75-100),0.5862068965517241,116
2025,CIN,2. Own Mid (50-74),0.6548672566371682,339
2025,CIN,3. Opp Mid (25-49),0.6875,240
2025,CIN,4. Red Zone (10-24),0.65,80
2025,CIN,5. Goal-to-Go (<10),0.56,50
2025,CLE,1. Own End (75-100),0.5733333333333334,150
2025,CLE,2. Own Mid (50-74),0.5598885793871866,359
2025,CLE,3. Opp Mid (25-49),0.6042780748663101,187
2025,CLE,4. Red Zone (10-24),0.5846153846153846,65
2025,CLE,5. Goal-to-Go (<10),0.34782608695652173,46
2025,DAL,1. Own End (75-100),0.559322033898305,118
2025,DAL,2. Own Mid (50-74),0.6181818181818182,330
2025,DAL,3. Opp Mid (25-49),0.579185520361991,221
2025,DAL,4. Red Zone (10-24),0.5765765765765766,111
