season,posteam,down,dist_bucket,pass_rate,epa,success,plays
2023,JAX,1,Short (1-2),0.0,-0.25991861857538523,0.5555555555555556,9
2023,JAX,2,Long (10+),0.8469387755102041,0.11717636640835791,0.42857142857142855,98
2023,JAX,2,Med-Short (3-5),0.3559322033898305,-0.009796612346012114,0.4067796610169492,59
2023,JAX,2,Medium (6-9),0.7209302325581395,0.20846059642573406,0.4883720930232558,86
2023,JAX,2,Short (1-2),0.46875,-0.47276369660721684,0.375,32
2023,JAX,3,Long (10+),0.875,-0.621531797665759,0.25,40
2023,JAX,3,Med-Short (3-5),0.9024390243902439,-0.08098750180792247,0.4634146341463415,41
2023,JAX,3,Medium (6-9),0.9,0.07088092145006578,0.4,40
2023,JAX,3,Short (1-2),0.5681818181818182,-0.3349615620617879,0.5454545454545454,44
2023,JAX,4,Long (10+),1.0,-2.8848857983830385,0.0,1
2023,JAX,4,Med-Short (3-5),1.0,-2.744808517920319,0.0,1
2023,JAX,4,Short (1-2),0.5454545454545454,0.8046134255022149,0.7272727272727273,11
2023,KC,1,Long (10+),0.5424657534246575,-0.06257657822177645,0.3972602739726027,365
2023,KC,1,Med-Short (3-5),0.5,0.07561801910342184,0.5,10
2023,KC,1,Medium (6-9),0.8,0.1754680379992351,0.4,10
2023,KC,1,Short (1-2),0.16666666666666666,0.4537414311635075,0.8333333333333334,6
2023,KC,2,Long (10+),0.6923076923076923,-0.14756760822022513,0.34615384615384615,104
2023,KC,2,Med-Short (3-5),0.5319148936170213,0.09999792190934928,0.574468085106383,47
2023,KC,2,Medium (6-9),0.7475728155339806,0.21601956316837317,0.5242718446601942,103
2023,KC,2,Short (1-2),0.2222222222222222,-0.18216860364945778,0.4444444444444444,27
2023,KC,3,Long (10+),0.9545454545454546,0.2537280286350695,0.3409090909090909,44
2023,KC,3,Med-Short (3-5),0.8837209302325582,0.1940994357100064,0.4883720930232558,43
2023,KC,3,Medium (6-9),0.9019607843137255,-0.058317922896117216,0.4117647058823529,51
2023,KC,3,Short (1-2),0.4594594594594595,0.4583865429361756,0.7027027027027027,37
2023,KC,4,Long (10+),1.0,-2.2854170201074644,0.0,3
2023,KC,4,Med-Short (3-5),0.6666666666666666,1.0453803595737554,0.6666666666666666,3
2023,KC,4,Short (1-2),0.2857142857142857,1.2820409040182963,0.8571428571428571,7
2023,LA,1,Long (10+),0.48579545454545453,-0.039551217055176995,0.44886363636363635,352
2023,LA,1,Med-Short (3-5),0.2727272727272727,0.07958908610321073,0.5454545454545454,11
2023,LA,1,Medium (6-9),0.18181818181818182,-0.0049792038123335014,0.2727272727272727,11
2023,LA,1,Short (1-2),0.25,-0.3876239713281393,0.25,4
2023,LA,2,Long (10+),0.7526881720430108,-0.17374344103905792,0.3225806451612903,93
2023,LA,2,Med-Short (3-5),0.5416666666666666,0.2326709142192461,0.5277777777777778,72
2023,LA,2,Medium (6-9),0.6436781609195402,0.15501890026251036,0.5287356321839081,87
2023,LA,2,Short (1-2),0.34782608695652173,0.2775099778613683,0.6086956521739131,23
2023,LA,3,Long (10+),0.8085106382978723,0.07718769165431198,0.3191489361702128,47
2023,LA,3,Med-Short (3-5),0.8936170212765957,0.5116978676562052,0.5957446808510638,47
2023,LA,3,Medium (6-9),0.95,0.23069206739220988,0.4,40
2023,LA,3,Short (1-2),0.3055555555555556,0.034724593752184806,0.6388888888888888,36
2023,LA,4,Med-Short (3-5),1.0,-1.2575058022824426,0.3333333333333333,3
2023,LA,4,Short (1-2),0.5555555555555556,1.3420942704025138,0.7777777777777778,9
2023,LAC,1,Long (10+),0.5322128851540616,-0.03047437606450474,0.38375350140056025,357
2023,LAC,1,Med-Short (3-5),0.375,0.018343916792218806,0.375,8
2023,LAC,1,Medium (6-9),0.35714285714285715,-0.0245563054777449,0.5,14
2023,LAC,1,Short (1-2),0.4,0.004880076064728201,0.4,5
2023,LAC,2,Long (10+),0.7956989247311828,0.17336310770347593,0.46236559139784944,93
2023,LAC,2,Med-Short (3-5),0.4647887323943662,0.036544939929793234,0.49295774647887325,71
2023,LAC,2,Medium (6-9),0.7053571428571429,-0.004340689549280796,0.4375,112
2023,LAC,2,Short (1-2),0.2,-0.1789072584360838,0.5333333333333333,30
