season,posteam,formation,plays,epa,pass_rate,success,usage_pct
2024,DAL,No-Huddle UC,14,0.35338595544245827,0.2857142857142857,0.6428571428571429,1.8
2024,DAL,Shotgun,534,-0.046274734523718275,0.704119850187266,0.42696629213483145,67.3
2024,DAL,Under Center,214,-0.05122976436989933,0.3130841121495327,0.43457943925233644,27.0
2024,DEN,No-Huddle Shotgun,72,-0.11704671399245872,0.8333333333333334,0.4583333333333333,9.7
2024,DEN,No-Huddle UC,20,-0.252936928672716,0.3,0.35,2.7
2024,DEN,Shotgun,412,0.017542244818346948,0.7548543689320388,0.4199029126213592,55.5
2024,DEN,Under Center,238,0.04037313908768269,0.226890756302521,0.4117647058823529,32.1
2024,DET,No-Huddle Shotgun,20,0.11584245695266873,0.75,0.5,2.6
2024,DET,No-Huddle UC,7,0.4950868778146936,0.42857142857142855,0.8571428571428571,0.9
2024,DET,Shotgun,332,0.17243794173563964,0.7108433734939759,0.46987951807228917,42.9
2024,DET,Under Center,415,0.1379611762401573,0.40240963855421685,0.5301204819277109,53.6
2024,GB,No-Huddle Shotgun,46,0.10044692566982455,0.6739130434782609,0.5217391304347826,6.8
2024,GB,No-Huddle UC,6,0.6310751933730739,0.3333333333333333,0.6666666666666666,0.9
2024,GB,Shotgun,451,0.12859847879079492,0.5210643015521065,0.4611973392461197,67.1
2024,GB,Under Center,169,0.038797893423136574,0.3136094674556213,0.4378698224852071,25.1
2024,HOU,No-Huddle Shotgun,28,-0.10068463512600699,0.8928571428571429,0.5357142857142857,3.3
2024,HOU,No-Huddle UC,17,-0.05531483044957414,0.35294117647058826,0.4117647058823529,2.0
2024,HOU,Shotgun,481,-0.06084747327760534,0.7567567567567568,0.3908523908523909,56.1
2024,HOU,Under Center,331,0.08480085730909658,0.33534743202416917,0.4078549848942598,38.6
2024,IND,No-Huddle Shotgun,99,-0.061460149103147683,0.494949494949495,0.41414141414141414,11.3
2024,IND,Shotgun,669,-0.02663303051377674,0.5695067264573991,0.40508221225710017,76.5
2024,IND,Under Center,107,-0.18513060318660773,0.24299065420560748,0.38317757009345793,12.2
2024,JAX,No-Huddle Shotgun,90,0.09978038854056245,0.43333333333333335,0.5333333333333333,11.6
2024,JAX,Shotgun,454,-0.041768778973627636,0.76431718061674,0.4052863436123348,58.6
2024,JAX,Under Center,231,-0.04370612169146929,0.2554112554112554,0.39826839826839827,29.8
2024,KC,No-Huddle Shotgun,11,-0.028246940132124688,0.8181818181818182,0.2727272727272727,1.2
2024,KC,Shotgun,689,0.12730920626808995,0.6792452830188679,0.502177068214804,75.3
2024,KC,Under Center,215,0.034362040005711074,0.3627906976744186,0.48372093023255813,23.5
2024,LA,No-Huddle Shotgun,49,-0.049191508209332824,0.9795918367346939,0.40816326530612246,5.5
2024,LA,No-Huddle UC,14,0.27633446606549633,0.14285714285714285,0.6428571428571429,1.6
2024,LA,Shotgun,428,-0.11657478686309167,0.6962616822429907,0.4158878504672897,48.4
2024,LA,Under Center,394,0.168461336203005,0.4010152284263959,0.5456852791878173,44.5
2024,LAC,No-Huddle Shotgun,26,0.4801069972253082,0.8076923076923077,0.5384615384615384,3.4
2024,LAC,No-Huddle UC,2,-0.8525768476829398,1.0,0.0,0.3
2024,LAC,Shotgun,508,0.0612449100414318,0.6751968503937008,0.421259842519685,65.6
2024,LAC,Under Center,238,0.052352934469945434,0.3277310924369748,0.4495798319327731,30.7
2024,LV,No-Huddle Shotgun,36,-0.8447192620449717,0.6944444444444444,0.2222222222222222,4.4
2024,LV,No-Huddle UC,9,0.3924240448622085,0.2222222222222222,0.5555555555555556,1.1
2024,LV,Shotgun,535,-0.12648358805292345,0.7140186915887851,0.4074766355140187,64.7
2024,LV,Under Center,247,-0.1683502736495413,0.3076923076923077,0.3724696356275304,29.9
2024,MIA,No-Huddle Shotgun,32,0.0685247552754257,0.75,0.4375,3.7
2024,MIA,No-Huddle UC,9,-0.026593169999412365,0.3333333333333333,0.3333333333333333,1.1
2024,MIA,Shotgun,627,-0.005604667168190356,0.6778309409888357,0.45614035087719296,73.2
2024,MIA,Under Center,189,-0.18522622386826781,0.19576719576719576,0.41798941798941797,22.1
2024,MIN,No-Huddle Shotgun,55,0.5433185841744984,0.8181818181818182,0.6545454545454545,7.1
2024,MIN,No-Huddle UC,32,0.2833837660491554,0.15625,0.59375,4.1
2024,MIN,Shotgun,356,0.05894180530792612,0.8202247191011236,0.449438202247191,45.8
2024,MIN,Under Center,335,0.02661141329130144,0.39104477611940297,0.4626865671641791,43.1
2024,NE,No-Huddle Shotgun,30,0.25088306674539734,0.5333333333333333,0.6,3.9
2024,NE,No-Huddle UC,10,-0.25659608567657416,0.3,0.3,1.3
2024,NE,Shotgun,484,-0.015658044376197132,0.71900826446281,0.44834710743801653,63.1
2024,NE,Under Center,243,-0.18777586700418988,0.2139917695473251,0.36213991769547327,31.7
2024,NO,No-Huddle Shotgun,26,0.04236044104954299,0.9230769230769231,0.5384615384615384,3.4
2024,NO,No-Huddle UC,28,-0.1329596691554928,0.21428571428571427,0.32142857142857145,3.6
2024,NO,Shotgun,398,-0.06687071374930469,0.7386934673366834,0.39195979899497485,51.6
2024,NO,Under Center,319,0.0450787010481676,0.34169278996865204,0.4231974921630094,41.4
2024,NYG,No-Huddle Shotgun,73,-0.15421310932306273,0.7808219178082192,0.3835616438356164,9.3
2024,NYG,No-Huddle UC,11,-0.5701859009092335,0.18181818181818182,0.18181818181818182,1.4
2024,NYG,Shotgun,462,-0.10580683903573339,0.6536796536796536,0.3939393939393939,58.7
2024,NYG,Under Center,241,-0.10832336863115936,0.34024896265560167,0.44398340248962653,30.6
2024,NYJ,No-Huddle Shotgun,42,0.22884861257776515,0.7857142857142857,0.5,5.0
2024,NYJ,No-Huddle UC,11,0.021332184863488445,0.5454545454545454,0.45454545454545453,1.3
2024,NYJ,Shotgun,579,-0.02590083021266263,0.7184801381692574,0.4265975820379965,68.4
2024,NYJ,Under Center,214,0.009354668714962334,0.35514018691588783,0.397196261682243,25.3
2024,PHI,No-Huddle Shotgun,233,0.25395369843386906,0.41201716738197425,0.5278969957081545,26.9
2024,PHI,No-Huddle UC,10,0.11020908129867166,0.2,0.7,1.2
2024,PHI,Shotgun,519,0.021580113178579673,0.5761078998073218,0.3988439306358382,59.9
2024,PHI,Under Center,104,0.1422621611975326,0.27884615384615385,0.5192307692307693,12.0
2024,PIT,No-Huddle Shotgun,135,0.02164542821488852,0.8,0.4222222222222222,15.5
2024,PIT,No-Huddle UC,72,-0.21285121294446677,0.3055555555555556,0.4305555555555556,8.3
2024,PIT,Shotgun,375,0.023001804784841734,0.6746666666666666,0.4266666666666667,43.1
2024,PIT,Under Center,289,-0.14021011560194188,0.28719723183391005,0.3494809688581315,33.2
2024,SEA,No-Huddle Shotgun,159,0.07201237156563635,0.5911949685534591,0.48427672955974843,19.7
2024,SEA,No-Huddle UC,1,-0.2311472224246245,0.0,0.0,0.1
2024,SEA,Shotgun,462,-0.05181122205330901,0.7554112554112554,0.4329004329004329,57.1
2024,SEA,Under Center,187,-0.07096168291439914,0.32085561497326204,0.44919786096256686,23.1
2024,SF,No-Huddle Shotgun,10,0.14114127375069074,0.9,0.5,1.3
2024,SF,No-Huddle UC,5,0.4246192296501249,0.6,0.6,0.7
2024,SF,Shotgun,451,0.04307671994683713,0.7117516629711752,0.458980044345898,59.4
2024,SF,Under Center,293,0.11156080405936117,0.31399317406143346,0.49146757679180886,38.6
2024,TB,No-Huddle Shotgun,24,-0.35596599856527816,0.9583333333333334,0.5416666666666666,3.0
2024,TB,No-Huddle UC,6,0.4926685479003936,0.3333333333333333,0.6666666666666666,0.7
2024,TB,Shotgun,490,0.16515035893159807,0.7306122448979592,0.4897959183673469,60.6
2024,TB,Under Center,289,0.04686386876747765,0.27335640138408307,0.4844290657439446,35.7
2024,TEN,No-Huddle Shotgun,18,-0.19182699174202072,0.7222222222222222,0.4444444444444444,2.4
2024,TEN,No-Huddle UC,4,0.6622246792539954,0.75,0.75,0.5
2024,TEN,Shotgun,511,-0.17681061663791367,0.6105675146771037,0.37181996086105673,67.6
2024,TEN,Under Center,223,-0.1164473480418084,0.3094170403587444,0.4304932735426009,29.5
2024,WAS,No-Huddle Shotgun,478,0.06697143887847562,0.5606694560669456,0.47489539748953974,60.2
2024,WAS,No-Huddle UC,26,0.4174722697464928,0.2692307692307692,0.6923076923076923,3.3
2024,WAS,Shotgun,262,0.13205152824166197,0.5610687022900763,0.4732824427480916,33.0
2024,WAS,Under Center,28,-0.05193940949435013,0.10714285714285714,0.39285714285714285,3.5
2025,ARI,No-Huddle Shotgun,41,-0.2862967383016412,0.6097560975609756,0.3170731707317073,5.6
2025,ARI,No-Huddle UC,6,-0.31079900977783836,0.3333333333333333,0.16666666666666666,0.8
2025,ARI,Shotgun,444,0.054894403640041056,0.7882882882882883,0.45495495495495497,60.6
2025,ARI,Under Center,242,-0.0282628568522168,0.384297520661157,0.4256198347107438,33.0
2025,ATL,No-Huddle Shotgun,73,0.060253544310299195,0.6986301369863014,0.5068493150684932,8.6
2025,ATL,No-Huddle UC,6,-0.3222001201356761,0.5,0.3333333333333333,0.7
2025,ATL,Shotgun,609,0.006276581289363558,0.5960591133004927,0.4400656814449918,71.6
2025,ATL,Under Center,163,0.06869810406562712,0.3374233128834356,0.44785276073619634,19.2
2025,BAL,No-Huddle Shotgun,14,0.28741653337159995,0.2857142857142857,0.5714285714285714,1.8
2025,BAL,No-Huddle UC,2,-0.17122224971535616,0.0,0.5,0.3
2025,BAL,Shotgun,492,-0.0034599701960124807,0.6321138211382114,0.43089430894308944,64.1
2025,BAL,Under Center,260,0.11528688587038906,0.23461538461538461,0.4846153846153846,33.9
2025,BUF,No-Huddle Shotgun,17,-0.5557976322974462,0.6470588235294118,0.35294117647058826,2.1
2025,BUF,No-Huddle UC,26,0.02949118276592344,0.11538461538461539,0.6153846153846154,3.2
2025,BUF,Shotgun,400,0.11755972455695174,0.755,0.445,49.9
2025,BUF,Under Center,358,0.12369197031375936,0.2849162011173184,0.5111731843575419,44.7
2025,CAR,No-Huddle Shotgun,19,-0.17848860012906553,0.6842105263157895,0.3157894736842105,2.4
2025,CAR,No-Huddle UC,7,-0.16089388653303363,0.14285714285714285,0.42857142857142855,0.9
2025,CAR,Shotgun,495,-0.04865467467300833,0.6787878787878788,0.402020202020202,63.2
2025,CAR,Under Center,262,-0.035215216493539786,0.24427480916030533,0.48091603053435117,33.5
2025,CHI,No-Huddle Shotgun,27,0.31757457779948944,0.8148148148148148,0.5555555555555556,3.0
2025,CHI,No-Huddle UC,12,0.7027098548569484,0.6666666666666666,0.9166666666666666,1.3
2025,CHI,Shotgun,429,0.10229817022560429,0.7365967365967366,0.4568764568764569,47.8
2025,CHI,Under Center,429,0.06644595594217448,0.34032634032634035,0.47785547785547783,47.8
2025,CIN,No-Huddle Shotgun,12,0.04028871479871062,0.75,0.5,1.5
2025,CIN,Shotgun,662,-0.03718648698743772,0.7265861027190332,0.4425981873111782,80.2
2025,CIN,Under Center,151,0.08105109131332974,0.2980132450331126,0.5231788079470199,18.3
2025,CLE,No-Huddle Shotgun,38,-0.3151612332000086,0.6842105263157895,0.2894736842105263,4.7
2025,CLE,No-Huddle UC,8,-0.08734328498394461,0.125,0.375,1.0
2025,CLE,Shotgun,476,-0.20686911575714104,0.7289915966386554,0.3277310924369748,59.0
2025,CLE,Under Center,285,-0.14721683989265696,0.2807017543859649,0.35789473684210527,35.3
2025,DAL,No-Huddle Shotgun,50,0.10681145190610632,0.84,0.44,5.9
2025,DAL,No-Huddle UC,13,0.11740779955513202,0.46153846153846156,0.5384615384615384,1.5
2025,DAL,Shotgun,468,0.184485831868131,0.7307692307692307,0.48717948717948717,55.2
2025,DAL,Under Center,317,0.04932192608487149,0.334384858044164,0.4605678233438486,37.4
2025,DEN,No-Huddle Shotgun,103,0.13024526169764625,0.8058252427184466,0.47572815533980584,11.8
2025,DEN,No-Huddle UC,10,0.027634821267565713,0.3,0.4,1.1
2025,DEN,Shotgun,485,0.04531115514225231,0.7587628865979381,0.42061855670103093,55.7
2025,DEN,Under Center,273,0.0648512136083424,0.2600732600732601,0.45787545787545786,31.3
2025,DET,No-Huddle Shotgun,25,-0.15525421022901292,1.0,0.52,3.1
2025,DET,No-Huddle UC,16,0.1895109264569328,0.125,0.75,2.0
2025,DET,Shotgun,377,0.09832918322592574,0.8275862068965517,0.4509283819628647,47.3
2025,DET,Under Center,379,0.06002958551533614,0.3482849604221636,0.44591029023746703,47.6
2025,GB,No-Huddle Shotgun,64,0.3240358408591191,0.65625,0.59375,7.6
2025,GB,No-Huddle UC,17,0.49695264432332753,0.47058823529411764,0.6470588235294118,2.0
2025,GB,Shotgun,490,0.1730845131255179,0.6306122448979592,0.47959183673469385,58.0
2025,GB,Under Center,274,0.06097510611565609,0.35036496350364965,0.4854014598540146,32.4
2025,HOU,No-Huddle Shotgun,26,-0.15525551614924693,0.9230769230769231,0.4230769230769231,2.9
2025,HOU,No-Huddle UC,5,-1.2082954189305506,0.0,0.2,0.6
