season,posteam,formation,play_type,epa_per_play,plays
2024,WAS,Under Center,pass,0.5668654040637193,12
2024,WAS,Under Center,run,0.13438185719739218,48
2025,ARI,Shotgun,pass,0.03744469374708709,375
2025,ARI,Shotgun,run,-0.012789192812242906,110
2025,ARI,Under Center,pass,0.07320370270093583,95
2025,ARI,Under Center,run,-0.10234481812740132,153
2025,ATL,Shotgun,pass,0.003328461528893044,414
2025,ATL,Shotgun,run,0.025533446518330328,268
2025,ATL,Under Center,pass,0.32554490856147883,58
2025,ATL,Under Center,run,-0.08663976986200549,111
2025,BAL,Shotgun,pass,-0.06283336415622019,315
2025,BAL,Shotgun,run,0.11578029235588283,191
2025,BAL,Under Center,pass,0.2911926687439354,61
2025,BAL,Under Center,run,0.05905170663428052,201
2025,BUF,Shotgun,pass,0.0651751868428023,372
2025,BUF,Shotgun,run,0.16218257344140768,120
2025,BUF,Under Center,pass,0.1922242426742549,123
2025,BUF,Under Center,run,0.10587841330922206,323
2025,CAR,Shotgun,pass,-0.047285487074249254,383
2025,CAR,Shotgun,run,-0.04130431369211867,172
2025,CAR,Under Center,pass,-0.2119665404930452,72
2025,CAR,Under Center,run,3.256161501860817e-05,218
2025,CHI,Shotgun,pass,0.10509317887685897,398
2025,CHI,Shotgun,run,0.08982815087444061,135
2025,CHI,Under Center,pass,0.08029143139549766,171
2025,CHI,Under Center,run,0.04407756460090829,334
2025,CIN,Shotgun,pass,-0.07045073359261902,490
2025,CIN,Shotgun,run,0.056450378545022155,184
2025,CIN,Under Center,pass,-0.0020457335799518557,45
2025,CIN,Under Center,run,0.11632804527745873,106
2025,CLE,Shotgun,pass,-0.2764127100225523,373
2025,CLE,Shotgun,run,-0.052084291656648636,141
2025,CLE,Under Center,pass,-0.2869103966545986,81
2025,CLE,Under Center,run,-0.09158397886913351,212
2025,DAL,Shotgun,pass,0.18615366789566037,384
2025,DAL,Shotgun,run,0.1507233838631122,134
2025,DAL,Under Center,pass,0.3034759287838824,112
2025,DAL,Under Center,run,-0.0771924406452929,218
2025,DEN,Shotgun,pass,0.02541226786056322,519
2025,DEN,Shotgun,run,0.1003622993214836,159
2025,DEN,Under Center,pass,0.18276041589813258,85
2025,DEN,Under Center,run,-0.02220565962082072,229
2025,DET,Shotgun,pass,0.09296600059707376,337
2025,DET,Shotgun,run,0.028603147988228043,65
2025,DET,Under Center,pass,0.26831985041090817,134
2025,DET,Under Center,run,-0.03897115793654549,261
2025,GB,Shotgun,pass,0.3213289685473758,380
2025,GB,Shotgun,run,0.008128188702349689,208
2025,GB,Under Center,pass,0.36081469404872146,109
2025,GB,Under Center,run,-0.04451572669024637,198
2025,HOU,Shotgun,pass,-0.04478217051751653,472
2025,HOU,Shotgun,run,-0.05365116898899124,154
2025,HOU,Under Center,pass,0.02420462188404469,112
2025,HOU,Under Center,run,-0.11558286424038097,272
2025,IND,Shotgun,pass,0.0418441968870582,381
2025,IND,Shotgun,run,-0.040164937721163106,202
2025,IND,Under Center,pass,0.15980667629023687,77
2025,IND,Under Center,run,0.19504095816997247,140
2025,JAX,Shotgun,pass,-0.004115098059221928,391
2025,JAX,Shotgun,run,0.02980369752142546,135
2025,JAX,Under Center,pass,0.22830498978963876,89
2025,JAX,Under Center,run,0.10109201852498152,211
2025,KC,Shotgun,pass,0.006913935188772052,497
